policy_id,claim_id,loss_dt,at_fault_flag,paid_severity_usd
driver_00004,c_975622351,2025-10-18T00:00:00,1,4428.783863219038
driver_00006,c_450385937,2025-11-15T00:00:00,1,7781.84301998695
driver_00013,c_827631171,2025-11-17T00:00:00,1,3875.9867973961436
driver_00019,c_466721003,2025-10-04T00:00:00,1,5292.696065691562
driver_00020,c_683048953,2025-11-07T00:00:00,1,20055.038554745603
driver_00023,c_469555811,2025-09-08T00:00:00,1,9383.698114137822
driver_00024,c_564499893,2025-11-02T00:00:00,1,2168.1706839754875
driver_00025,c_767843914,2025-10-31T00:00:00,1,6047.291115366249
driver_00028,c_636761825,2025-11-15T00:00:00,1,7735.470460518172
driver_00029,c_796842586,2025-09-14T00:00:00,1,4233.07645542524
driver_00035,c_439613574,2025-11-11T00:00:00,1,12347.464081310793
driver_00042,c_436717389,2025-10-31T00:00:00,1,3097.8270584718784
driver_00043,c_408528643,2025-09-26T00:00:00,1,1545.7047860174987
driver_00044,c_58302741,2025-11-14T00:00:00,1,5842.245807862341
driver_00045,c_661916514,2025-10-10T00:00:00,1,2920.6472020708047
driver_00050,c_771552413,2025-10-01T00:00:00,1,3022.067804373064
driver_00052,c_938051391,2025-11-05T00:00:00,1,4061.755665478695
driver_00055,c_683700662,2025-09-15T00:00:00,1,2929.32197085363
driver_00057,c_338943805,2025-10-28T00:00:00,1,1492.152952715431
driver_00060,c_263524860,2025-11-26T00:00:00,1,10661.785972700069
driver_00063,c_447023719,2025-11-10T00:00:00,1,1973.3412653739986
driver_00065,c_808660746,2025-11-21T00:00:00,1,5573.718657318448
driver_00066,c_19523991,2025-10-23T00:00:00,1,1360.294649364709
driver_00072,c_786886457,2025-11-08T00:00:00,1,4602.968618694158
driver_00075,c_175185179,2025-09-05T00:00:00,1,12057.92221849792
driver_00076,c_989683690,2025-10-24T00:00:00,1,2008.3485450199562
driver_00077,c_294753033,2025-10-23T00:00:00,1,6479.2705276163415
driver_00081,c_671124039,2025-09-04T00:00:00,1,17989.583389242478
driver_00086,c_849777895,2025-10-15T00:00:00,1,2946.8204510296914
driver_00087,c_9916196,2025-10-11T00:00:00,1,8950.683464400368
driver_00088,c_315692168,2025-11-20T00:00:00,1,1850.589813521943
driver_00094,c_975155319,2025-09-11T00:00:00,1,2767.02579218141
driver_00095,c_546803284,2025-09-22T00:00:00,1,2335.731626887862
driver_00098,c_634831088,2025-10-05T00:00:00,1,8092.392968131696
driver_00092,c_991382800,2025-09-27T00:00:00,1,3902.716411367267
driver_00087,c_533156832,2025-11-24T00:00:00,1,5622.626323690138
driver_00032,c_969373309,2025-09-05T00:00:00,1,1604.8662153608827
driver_00065,c_90928824,2025-11-29T00:00:00,1,4579.9389086272295
driver_00025,c_223417944,2025-11-07T00:00:00,1,4536.8749189758355
driver_00042,c_469545298,2025-11-20T00:00:00,1,4985.901979286885
driver_00030,c_335583652,2025-09-30T00:00:00,1,4743.530060555829
driver_00061,c_886295917,2025-10-30T00:00:00,1,9225.406495999623
driver_00058,c_379991451,2025-09-10T00:00:00,1,12731.276914169484
driver_00077,c_240970574,2025-09-25T00:00:00,1,1606.2350259103384
driver_00039,c_122757932,2025-09-04T00:00:00,1,14658.113601430608
driver_00017,c_153284316,2025-11-20T00:00:00,1,3018.784389032516
driver_00012,c_599382791,2025-10-04T00:00:00,1,1754.1079892730145
driver_00073,c_310323672,2025-09-26T00:00:00,1,6519.122734969716
driver_00018,c_971826425,2025-09-30T00:00:00,1,4008.444741111703
driver_00021,c_143897502,2025-10-10T00:00:00,1,5183.2155831247965
